BASMID,ALLGRADEX,SEGRADES,CENREG,EDCPUB,EDCCAT,EDCREL,EDCPRI,EDCINTK12,EDCHSFL,DISTASSI,SCHRTSCHL,SCHLMAGNET,SEENJOY,SEABSNT,FCSCHOOL,FCTEACHR,FCSTDS,FHHOME,FHWKHRS,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,HHENGLISH,CSPEAKX,HHTOTALXX,HHPRTNRSX,P1REL,P1SEX,P1AGE,P2REL,P2SEX,P2MRSTA,PAR1EMPL,PAR1FTFY,PAR2FTFY,NUMSIBSX,TTLHHINC,OWNRNTHB,HVINTSPHO,HVINTCOM,INTACC,CHLDNT,LRNCOMP,LRNTAB,LRNCELL
20191000012,12,1,4,1,2,2,2,2,2,1,2,2,2,1,2,2,1,4,2,1,1,2,1,2,1,1,7,2,2,2,2,2,2,2,2,4,0,1,2,52,1,1,1,3,2,1,1,8,2,1,1,1,1,1,2,1
20191000078,9,1,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,3,5,2,2,1,1,1,1,1,3,2,2,1,2,2,1,1,2,4,0,1,1,48,1,2,1,1,1,1,1,10,1,1,1,1,2,1,2,2
20191000149,8,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,3,10,1,2,1,1,2,1,2,7,2,2,2,2,2,1,1,2,5,0,1,2,34,3,1,1,3,2,1,2,3,1,1,1,1,1,1,1,1
20191000187,9,1,3,1,2,2,2,2,2,2,2,2,2,1,1,1,1,4,10,1,2,1,2,2,1,2,7,1,2,1,2,2,2,1,2,4,0,1,1,49,1,2,1,1,1,1,1,11,1,1,1,1,1,1,1,2
20191000218,15,1,3,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,5,1,2,1,2,1,1,2,0,2,2,2,2,2,2,1,2,5,0,1,2,38,1,1,5,1,1,3,2,3,1,1,1,1,1,1,1,1
20191000220,12,1,1,1,2,2,2,2,2,1,2,2,3,1,1,1,1,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,4,0,1,2,45,1,1,1,1,1,1,1,10,1,1,1,1,1,1,2,1
20191000221,6,1,3,1,2,2,2,2,2,1,2,2,3,1,1,1,1,4,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,3,0,1,1,32,1,2,1,1,1,2,0,8,1,1,1,1,3,1,2,2
20191000222,14,1,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,4,24,1,2,2,2,1,1,1,7,2,2,2,2,2,2,2,3,5,0,1,2,39,1,1,1,4,3,1,2,5,2,1,2,3,2,2,2,1
20191000271,9,1,3,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,8,1,2,2,1,1,2,2,7,2,1,1,1,2,1,1,2,5,0,1,2,50,1,1,1,4,3,1,2,8,1,1,1,1,3,1,1,2
20191000316,7,1,2,1,2,2,2,2,2,1,2,2,2,1,2,3,1,1,1,1,1,1,2,1,1,1,7,1,2,2,2,2,2,1,2,3,0,1,2,48,1,1,1,4,3,1,0,7,1,1,1,1,2,1,1,2
20191000329,2,1,3,1,2,2,2,2,2,1,2,2,1,1,1,1,1,4,5,2,2,1,1,1,1,1,4,1,1,1,2,2,1,1,6,4,0,1,1,42,1,2,1,1,1,1,1,10,1,1,1,1,2,1,1,2
20191000330,10,1,4,1,2,2,2,2,2,1,2,2,2,1,2,1,1,3,4,1,2,1,1,1,1,2,5,1,1,1,2,2,1,1,2,4,0,1,1,42,1,2,1,1,1,2,1,10,1,1,1,1,1,1,2,1
20191000361,15,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,4,30,2,2,2,2,1,1,2,5,1,1,1,2,2,2,1,5,3,0,1,1,56,1,2,1,1,1,1,0,12,1,1,1,1,1,1,1,1
20191000385,2,1,4,1,2,2,2,2,2,1,2,2,1,1,1,1,1,4,7,1,1,1,1,1,1,2,7,2,2,1,1,2,1,1,2,3,0,1,1,44,1,2,1,1,1,3,0,8,1,1,1,1,2,1,2,2
20191000388,8,1,2,1,2,2,2,2,2,1,1,2,2,1,2,1,3,3,6,1,2,2,1,1,2,2,7,2,1,2,1,2,1,1,2,3,0,1,1,47,1,2,1,1,1,1,0,7,1,1,1,1,2,1,1,1
20191000393,12,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,3,6,1,2,2,2,1,1,1,4,2,1,2,2,1,1,1,2,5,0,1,2,40,1,1,1,4,3,1,2,9,1,1,1,1,1,1,1,1
20191000401,15,1,3,1,2,2,2,2,2,1,2,2,3,1,2,2,2,3,4,1,1,2,1,1,2,1,4,2,2,2,2,2,1,1,2,3,0,1,2,59,1,1,1,1,1,1,0,3,1,1,1,1,1,1,1,1
20191000446,11,1,2,1,2,2,2,2,2,1,2,2,3,1,3,1,2,3,12,1,1,1,1,1,1,1,5,2,2,2,2,2,1,1,2,4,0,1,2,47,1,1,1,1,1,1,0,8,1,1,1,1,1,1,1,1
20191000461,7,1,3,1,2,2,2,2,2,1,2,2,1,1,1,1,1,4,1,1,1,2,2,1,2,2,3,2,2,2,2,2,2,1,2,5,0,1,2,44,1,1,1,1,1,1,2,9,2,1,1,1,1,1,1,1
20191000493,15,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,4,12,1,2,2,2,2,1,1,7,1,2,1,2,2,1,1,2,3,0,2,2,31,2,2,1,1,1,1,0,8,1,1,1,1,1,1,1,1
20191000520,12,1,4,1,2,2,2,2,2,1,2,2,1,1,2,2,2,4,10,2,1,1,1,1,1,1,7,2,2,1,2,2,2,1,2,4,0,1,1,43,1,2,1,1,1,2,1,10,1,1,1,1,1,1,1,1
20191000585,13,1,2,1,2,2,2,2,2,1,2,1,2,1,1,1,1,3,5,1,2,1,1,1,1,2,3,2,2,1,1,2,1,1,2,6,0,1,1,46,1,1,1,1,1,1,3,8,1,1,1,1,2,1,2,1
20191000598,13,1,4,1,2,2,2,2,2,1,2,2,3,1,1,2,4,3,3,2,2,2,2,1,1,2,7,2,2,1,1,2,1,2,5,3,0,1,2,55,1,1,1,1,2,2,0,7,2,1,1,1,1,1,2,2
20191000601,10,1,1,1,2,2,2,2,2,1,2,2,3,2,2,3,3,4,12,1,2,1,2,1,1,1,4,2,2,2,2,2,2,1,2,4,0,1,2,42,1,1,1,3,3,1,1,9,1,1,1,1,1,1,1,1
20191000606,7,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,4,12,2,1,1,1,1,2,1,7,1,1,2,2,2,1,2,2,4,0,1,1,65,1,2,1,1,1,1,1,7,2,1,1,1,2,1,1,2
